Chart Number,Date,Artist,Song,Weeks at #1,References,Unnamed: 6_level_0
1096,"January 18, 2020",Roddy Ricch,"""The Box""",11.0,[5],
1097,"April 4, 2020",The Weeknd,"""Blinding Lights"" ♪ [6]",4.0,[7],
1098,"April 18, 2020",Drake,"""Toosie Slide""",1.0,[8],
1099,"May 9, 2020",The Scotts (Travis Scott and Kid Cudi),"""The Scotts""",1.0,[9],
1100,"May 16, 2020",Doja Cat featuring Nicki Minaj,"""Say So""",1.0,[10],
1101,"May 23, 2020",Ariana Grande and Justin Bieber,"""Stuck with U""",1.0,[11],
1102,"May 30, 2020",Megan Thee Stallion featuring Beyoncé,"""Savage""",1.0,[12],
1103,"June 6, 2020",Lady Gaga and Ariana Grande,"""Rain on Me""",1.0,[13],
1104,"June 13, 2020",DaBaby featuring Roddy Ricch,"""Rockstar""",7.0,[14],
1105,"June 27, 2020",6ix9ine and Nicki Minaj,"""Trollz""",1.0,[15],
1106,"August 8, 2020",Taylor Swift,"""Cardigan""",1.0,[16],
1107,"August 15, 2020",Harry Styles,"""Watermelon Sugar""",1.0,[17],
1108,"August 22, 2020",Cardi B featuring Megan Thee Stallion,"""WAP""",4.0,[18],
1109,"September 5, 2020",BTS,"""Dynamite""",3.0,[19],
1110,"October 10, 2020",Travis Scott featuring Young Thug and M.I.A.,"""Franchise""",1.0,[20],
1111,"October 17, 2020","Jawsh 685, Jason Derulo and BTS","""Savage Love (Laxed – Siren Beat)""",1.0,[21],
1112,"October 24, 2020",24kGoldn featuring Iann Dior,"""Mood""",8.0,[22],
1113,"November 7, 2020",Ariana Grande,"""Positions""",1.0,[23],
1114,"December 5, 2020",BTS,"""Life Goes On""",1.0,[24],
re,"December 19, 2020",Mariah Carey,"""All I Want for Christmas Is You""",21.0,[25],
1115,"December 26, 2020",Taylor Swift,"""Willow""",1.0,[26],
2021,2021,2021,2021,2021.0,2021,2021.0
1116,"January 23, 2021",Olivia Rodrigo,"""Drivers License""",8.0,[27],
1117,"March 20, 2021",Drake,"""What's Next""",1.0,[28],
1118,"March 27, 2021",Cardi B,"""Up""",1.0,[29],
1119,"April 3, 2021",Justin Bieber featuring Daniel Caesar and Giveon,"""Peaches""",1.0,[30],
1120,"April 10, 2021",Lil Nas X,"""Montero (Call Me by Your Name)""",1.0,[31],
1121,"April 17, 2021",Silk Sonic (Bruno Mars and Anderson .Paak),"""Leave the Door Open""",2.0,[32],
1122,"April 24, 2021",Polo G,"""Rapstar""",2.0,[33],
1123,"May 8, 2021",The Weeknd and Ariana Grande,"""Save Your Tears""",2.0,[34],
1124,"May 29, 2021",Olivia Rodrigo,"""Good 4 U""",1.0,[35],
1125,"June 5, 2021",BTS,"""Butter""",10.0,[36],
1126,"July 24, 2021",BTS,"""Permission to Dance""",1.0,[37],
1127,"August 14, 2021",The Kid Laroi and Justin Bieber,"""Stay""",7.0,[38],
1128,"September 18, 2021",Drake featuring Future and Young Thug,"""Way 2 Sexy""",1.0,[39],
1129,"October 9, 2021",Coldplay and BTS,"""My Universe""",1.0,[40],
1130,"October 23, 2021",Lil Nas X and Jack Harlow,"""Industry Baby""",1.0,[41],
1131,"October 30, 2021",Adele,"""Easy on Me""",10.0,[42],
1132,"November 27, 2021",Taylor Swift,"""All Too Well (Taylor's Version)""",1.0,[43],
re,"December 25, 2021",Mariah Carey,"""All I Want for Christmas Is You""",31.0,[44],
2022,2022,2022,2022,2022.0,2022,2022.0
1133,"February 5, 2022","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast","""We Don't Talk About Bruno""",5.0,[45],
1134,"March 12, 2022",Glass Animals,"""Heat Waves"" ♪ [46]",5.0,[47],
1135,"April 16, 2022",Harry Styles,"""As It Was""",15.0,[48],
1136,"April 23, 2022",Jack Harlow,"""First Class""",3.0,[49],
1137,"May 14, 2022",Future featuring Drake and Tems,"""Wait for U""",1.0,[50],
1138,"July 2, 2022",Drake featuring 21 Savage,"""Jimmy Cooks""",1.0,[51],
1139,"July 30, 2022",Lizzo,"""About Damn Time""",2.0,[52],
1140,"August 13, 2022",Beyoncé,"""Break My Soul""",2.0,[53],
1141,"August 27, 2022",Nicki Minaj,"""Super Freaky Girl""",1.0,[54],
1142,"October 8, 2022",Steve Lacy,"""Bad Habit""",3.0,[55],
1143,"October 29, 2022",Sam Smith and Kim Petras,"""Unholy""",1.0,[56],
1144,"November 5, 2022",Taylor Swift,"""Anti-Hero""",8.0,[57],
re,"December 17, 2022",Mariah Carey,"""All I Want for Christmas Is You""",41.0,[58],
2023,2023,2023,2023,2023.0,2023,2023.0
1145,"January 28, 2023",Miley Cyrus,"""Flowers""",8.0,[59],
1146,"March 11, 2023",The Weeknd and Ariana Grande,"""Die for You""",1.0,[60],
1147,"March 18, 2023",Morgan Wallen,"""Last Night"" ♪ [61]",16.0,[62],
1148,"April 8, 2023",Jimin,"""Like Crazy""",1.0,[63],
1149,"April 29, 2023",SZA,"""Kill Bill""",1.0,[64],
1150,"July 15, 2023",Olivia Rodrigo,"""Vampire""",2.0,[65],
1151,"July 29, 2023",Jungkook featuring Latto,"""Seven""",1.0,[66],
1152,"August 5, 2023",Jason Aldean,"""Try That in a Small Town""",1.0,[67],
1153,"August 26, 2023",Oliver Anthony Music,"""Rich Men North of Richmond""",2.0,[68],
1154,"September 9, 2023",Zach Bryan featuring Kacey Musgraves,"""I Remember Everything""",1.0,[69],
1155,"September 16, 2023",Doja Cat,"""Paint the Town Red""",3.0,[70],
1156,"September 30, 2023",Drake featuring SZA,"""Slime You Out""",1.0,[71],
1157,"October 21, 2023",Drake featuring J. Cole,"""First Person Shooter""",1.0,[72],
1158,"October 28, 2023",Taylor Swift,"""Cruel Summer""",4.0,[73],
1159,"November 11, 2023",Taylor Swift,"""Is It Over Now?""",1.0,[74],
1160,"December 2, 2023",Jack Harlow,"""Lovin on Me""",6.0,[75],
1161,"December 9, 2023",Brenda Lee,"""Rockin' Around the Christmas Tree""",3.0,[76],
re,"December 23, 2023",Mariah Carey,"""All I Want for Christmas Is You""",21.0,[77],
2024,2024,2024,2024,2024.0,2024,2024.0
1162,"January 27, 2024",Ariana Grande,"""Yes, And?""",1.0,[78],
1163,"February 10, 2024",Megan Thee Stallion,"""Hiss""",1.0,[79],
1164,"March 2, 2024",Beyoncé,"""Texas Hold 'Em""",2.0,[80],
1165,"March 16, 2024",¥$: Ye and Ty Dolla Sign featuring Rich the Kid and Playboi Carti,"""Carnival""",1.0,[81],
1166,"March 23, 2024",Ariana Grande,"""We Can't Be Friends (Wait for Your Love)""",1.0,[82],
1167,"March 30, 2024",Teddy Swims,"""Lose Control"" ♪ [83]",1.0,[84],
1168,"April 6, 2024","Future, Metro Boomin and Kendrick Lamar","""Like That""",3.0,[85],
1169,"April 27, 2024",Hozier,"""Too Sweet""",1.0,[86],
1170,"May 4, 2024",Taylor Swift featuring Post Malone,"""Fortnight""",2.0,[87],
1171,"May 18, 2024",Kendrick Lamar,"""Not Like Us""",3.0,[88],
1172,"May 25, 2024",Post Malone featuring Morgan Wallen,"""I Had Some Help""",6.0,[89],
1173,"June 29, 2024",Sabrina Carpenter,"""Please Please Please""",1.0,[90],
1174,"July 13, 2024",Shaboozey,"""A Bar Song (Tipsy)""",19.0,[91],
1175,"November 2, 2024",Morgan Wallen,"""Love Somebody""",1.0,[92],
1176,"December 7, 2024",Kendrick Lamar,"""Squabble Up""",1.0,[93],
re,"December 14, 2024",Mariah Carey,"""All I Want for Christmas Is You""",41.0,[94],
2025,2025,2025,2025,2025.0,2025,2025.0
1177,"January 11, 2025",Lady Gaga and Bruno Mars,"""Die with a Smile""",5.0,[95],
1178,"February 8, 2025",Travis Scott,"""4x4""",1.0,[96],
